"","paisnom","del","pdte","trib","inst","confcon","confpdte","confpp","confmedia","confelec","satdem","dervoto","derman"
"1","Argentina",0,1,"6","4","6","5","3","4","6",1,"8","5"
"2","Argentina",1,0,"4","6","5","1","1","6","3",0,"8","9"
"3","Argentina",0,0,"4","4","2","6","3","6","4",0,"5","8"
"4","Argentina",1,1,"3","7","4","1","2","4","3",0,"8","7"
"5","Argentina",0,0,"5","6","4","3","3","5","5",1,"5","6"
"6","Argentina",0,0,"2","1","1","2","1","2","1",1,"5","9"
"7","Argentina",0,0,"4","2","4","1","3","4","7",1,"10","10"
"8","Argentina",1,0,"1","1","1","1","1","7","1",0,"5","1"
"9","Argentina",1,1,"5","7","7","5","7","7","6",1,"10","8"
"10","Argentina",0,0,"2","7","1","3","1","4","5",1,"5","6"
"11","Argentina",0,0,"4","4","4","6","5","6","4",0,"7","7"
"12","Argentina",0,0,"1","6","2","1","1","7","3",0,"5","9"
"13","Argentina",0,0,"7","7","6","3","7","5","2",0,"8","9"
"14","Argentina",0,0,"5","3","4","3","3","4","5",1,"10","10"
"15","Argentina",0,0,"4","7","5","6","2","3","2",1,"6","5"
"16","Argentina",0,0,"2","4","3","1","1","5","1",0,"9","10"
"17","Argentina",0,0,"3","6","4","1","3","6","6",1,"7","10"
"18","Argentina",1,0,"3","4","7","5","5","7","5",1,"6","7"
"19","Argentina",0,0,"2","4","4","3","1","4","6",0,"6","6"
"20","Argentina",0,0,"6","2","1","4","3","6","5",0,"5","7"
"21","Argentina",0,0,"3","5","4","1","2","4","3",1,"10","10"
"22","Argentina",1,0,"2","2","5","3","2","4","4",0,"8","8"
"23","Argentina",0,0,"5","6","7","1","5","6","6",1,"6","10"
"24","Argentina",1,1,"1","1","1","1","2","7","1",0,"2","1"
"25","Argentina",1,1,"7","7","7","1","1","1","1",1,"10","10"
"26","Argentina",0,0,"4","6","5","7","1","6","7",0,"3","5"
"27","Argentina",1,0,"6","5","5","4","3","6","4",0,"6","5"
"28","Argentina",0,0,"4","7","1","1","1","1","1",0,"10","10"
"29","Argentina",0,0,"3","6","4","2","3","2","4",0,"10","10"
"30","Argentina",0,0,"1","4","4","5","5","1","7",1,"5","6"
"31","Argentina",0,0,"2","4","3","3","4","4","4",1,"6","5"
"32","Argentina",1,0,"4","6","5","5","4","6","6",0,"6","8"
"33","Argentina",0,0,"1","2","6","7","5","4","7",1,"10","9"
"34","Argentina",1,0,"3","4","1","1","1","7","1",0,"10","1"
"35","Argentina",1,0,"2","1","4","1","1","5","1",0,"3","3"
"36","Argentina",0,0,"7","7","5","7","5","4","7",1,"2","8"
"37","Argentina",0,0,"3","2","4","7","6","4","4",1,"2","5"
"38","Argentina",0,0,"5","7","5","7","4","6","7",1,"7","7"
"39","Argentina",0,0,"4","5","5","4","3","2","6",0,"3","8"
"40","Argentina",1,1,"5","5","7","1","1","7","5",0,"3","7"
"41","Argentina",0,0,"1","6","7","7","7","7","7",1,"1","1"
"42","Argentina",0,0,"3","7","7","1","1","3","3",0,"10","10"
"43","Argentina",0,0,"4","6","7","2","2","4","5",0,"1","1"
"44","Argentina",1,1,"7","7","7","7","7","7","7",1,"10","10"
"45","Argentina",0,0,"4","6","4","3","4","3","4",0,"7","10"
"46","Argentina",0,0,"5","5","4","4","2","4","5",0,"10","6"
"47","Argentina",0,0,"4","5","5","3","2","3","4",0,"3","3"
"48","Argentina",0,0,"4","4","5","2","6","5","5",1,"3","3"
"49","Argentina",0,0,"4","7","4","4","3","3","3",1,"5","6"
"50","Argentina",0,0,"3","5","3","3","1","4","3",0,"5","1"
"51","Argentina",1,0,"4","4","6","3","4","4","5",0,"6","5"
"52","Argentina",0,0,"5","1","1","1","5","3","4",1,"8","6"
"53","Argentina",0,0,"5","6","6","5","5","7","6",1,"3","5"
