country,year,admin,breakdown,age,fh,ghist10,wfm,gini_,shugart
Argentina,1900,Alejo Julio Argentino Roca Paz    ,,,,.052290726,,,
Argentina,1901,Alejo Julio Argentino Roca Paz    ,,,,.051351469,,,
Argentina,1902,Alejo Julio Argentino Roca Paz    ,,,,.046282224,,,
Argentina,1903,Alejo Julio Argentino Roca Paz    ,,,,.045658246,,,
Argentina,1904,Manuel A. Quintana y Sáenz de Gaona,,,,.051194578,,,
Argentina,1905,Manuel A. Quintana y Sáenz de Gaona,,,,.052290726,,,
Argentina,1906,José Figueroa Alcorta             ,,,,.046095718,,,
Argentina,1907,José Figueroa Alcorta             ,,,,.041709151,,,
Argentina,1908,José Figueroa Alcorta             ,,,,.038251311,,,
Argentina,1909,José Figueroa Alcorta             ,,,,.035194363,,,
Argentina,1910,Roque Sáenz Peña Lahitte          ,,,,.030327437,,,
Argentina,1911,Roque Sáenz Peña Lahitte          ,,,,.026486946,,,
Argentina,1912,Roque Sáenz Peña Lahitte          ,,,,.022216897,,,
Argentina,1913,Roque Sáenz Peña Lahitte          ,,,,.014619258,,,
Argentina,1914,Victorino de la Plaza y Palacios  ,,,,.0014994022,,,
Argentina,1915,Victorino de la Plaza y Palacios  ,,,,-.005823195,,,
Argentina,1916,Juan Hipólito del Sagrado Corazón de Jesús Yrigoyen Alem,,,,-.029051589,,,
Argentina,1917,Juan Hipólito del Sagrado Corazón de Jesús Yrigoyen Alem,0,,,-.013669851,,,
Argentina,1918,Juan Hipólito del Sagrado Corazón de Jesús Yrigoyen Alem,0,,,-.0012515376,,,
Argentina,1919,Juan Hipólito del Sagrado Corazón de Jesús Yrigoyen Alem,0,,,.0037835394,,,
Argentina,1920,Juan Hipólito del Sagrado Corazón de Jesús Yrigoyen Alem,0,,,.007409113,,,
Argentina,1921,Juan Hipólito del Sagrado Corazón de Jesús Yrigoyen Alem,0,,,.0059502558,,,
Argentina,1922,Máximo Marcelo Torcuato de Alvear Pacheco,0,,,.010606674,,,
Argentina,1923,Máximo Marcelo Torcuato de Alvear Pacheco,0,,,.015893459,,,
Argentina,1924,Máximo Marcelo Torcuato de Alvear Pacheco,0,,,.017092647,,,
Argentina,1925,Máximo Marcelo Torcuato de Alvear Pacheco,0,,,.016338736,,,
Argentina,1926,Máximo Marcelo Torcuato de Alvear Pacheco,0,,,.020137742,,,
Argentina,1927,Máximo Marcelo Torcuato de Alvear Pacheco,0,,,.023024166,,,
Argentina,1928,Juan Hipólito del Sagrado Corazón de Jesús Yrigoyen Alem,0,,,.023693863,,,
Argentina,1929,Juan Hipólito del Sagrado Corazón de Jesús Yrigoyen Alem,0,,,.021320121,,,
Argentina,1930,José Félix Benito de Uriburu y Uriburu,1,,,-.045438863,,,
Argentina,1931,José Félix Benito de Uriburu y Uriburu,,,,-.056962159,,,
Argentina,1932,Agustín Pedro Justo Rolón         ,,,,-.050300129,,,
Argentina,1933,Agustín Pedro Justo Rolón         ,,,,-.034433622,,,
Argentina,1934,Agustín Pedro Justo Rolón         ,,,,-.01968153,,,
Argentina,1935,Agustín Pedro Justo Rolón         ,,,,-.011853863,,,
Argentina,1936,Agustín Pedro Justo Rolón         ,,,,-.0111766,,,
Argentina,1937,Agustín Pedro Justo Rolón         ,,,,-.0080182115,,,
Argentina,1938,Jaime Gerardo Roberto Marcelino Ortiz Lizardi     ,,,,-.0080818292,,,
Argentina,1939,Jaime Gerardo Roberto Marcelino Ortiz Lizardi     ,,,,-.0073247463,,,
Argentina,1940,Ramón S. Castillo Barrionuevo     ,,,,-.0039881533,,,
Argentina,1941,Ramón S. Castillo Barrionuevo     ,,,,.0039706328,,,
Argentina,1942,Ramón S. Castillo Barrionuevo     ,,,,.0086327372,,,
Argentina,1943,Pedro Pablo Ramírez Machuca       ,,,,.0056716246,,,
Argentina,1944,Edelmiro Julián Farrell Plaul,,,,.0021983467,,,
Argentina,1945,Edelmiro Julián Farrell Plaul,,2,,.0070076161,,,16
Argentina,1946,Juan Domingo Perón Sosa,,3,,.014878375,,,16
Argentina,1947,Juan Domingo Perón Sosa,0,1,,.049849704,,,16
Argentina,1948,Juan Domingo Perón Sosa,0,2,,.03702068,,,16
Argentina,1949,Juan Domingo Perón Sosa,0,3,,.023376772,,,16
Argentina,1950,Juan Domingo Perón Sosa,0,4,,.016640659,,,16
Argentina,1951,Juan Domingo Perón Sosa,1,5,,.010608051,,,16
Argentina,1952,Juan Domingo Perón Sosa,,6,,.0080076568,,,16
Argentina,1953,Juan Domingo Perón Sosa,,7,,.0061410232,,,16
Argentina,1954,Juan Domingo Perón Sosa,,8,,.0082291048,,,16
Argentina,1955,Pedro Eugenio Aramburu Cilveti,,9,,.010288684,,,16
Argentina,1956,Pedro Eugenio Aramburu Cilveti,,1,,.016427903,,,16
Argentina,1957,Pedro Eugenio Aramburu Cilveti,,2,,.02035653,,,16
Argentina,1958,Arturo Frondizi Ercoli            ,,3,,.015452635,,,16
Argentina,1959,Arturo Frondizi Ercoli            ,0,1,,.0061866571,,,16
Argentina,1960,Arturo Frondizi Ercoli            ,0,2,,.02612656,,,16
Argentina,1961,Arturo Frondizi Ercoli            ,0,3,,.028955692,,,16
Argentina,1962,José María Guido,1,4,,.018347029,,45.900002,16
Argentina,1963,Arturo Umberto Illia Francesconi  ,,5,,.0040129749,,40.849998,16
Argentina,1964,Arturo Umberto Illia Francesconi  ,0,1,,.0085534817,.00053824339,35.799999,16
Argentina,1965,Arturo Umberto Illia Francesconi  ,0,2,,.035542317,.00048374731,35.549999,16
Argentina,1966,Juan Carlos Onganía Carballo      ,1,3,,.021477271,.00061150279,35.299999,16
Argentina,1967,Juan Carlos Onganía Carballo      ,,1,,-.0015766615,.00051396317,35.459999,16
Argentina,1968,Juan Carlos Onganía Carballo      ,,2,,.010172971,.00075485144,35.619999,16
Argentina,1969,Juan Carlos Onganía Carballo      ,,3,,.027934805,.00046096972,35.779999,16
Argentina,1970,Roberto Marcelo Levingston Laborda,,4,,.025401078,.00050634815,35.939999,16
Argentina,1971,Alejandro Agustín Lanusse Gelly   ,,5,,.02789632,.00049476663,36.099998,16
Argentina,1972,Alejandro Agustín Lanusse Gelly   ,,6,5,.023939155,.00042176171,34.75,16
Argentina,1973,Juan Domingo Perón Sosa,,7,10,.022384981,.00039167004,33.400002,19
Argentina,1974,"María Estela ""Isabel"" Martínez de Perón",0,1,8,.024844017,.00049264799,34.700001,19
Argentina,1975,"María Estela ""Isabel"" Martínez de Perón",0,2,8,.011075757,.00033444064,36,19
Argentina,1976,Jorge Rafael Videla Redondo ,1,3,3,-.00068256067,.00050915394,36.599998,19
