country,code,year,vote,cinc_gap,fdi,imf,wb,fta,dictatorship,cinc
Argentina,1,1970,0.81578946,0.1770402,,0,0,0,1,0.0062
Argentina,1,1971,0.9245283,0.1627664,,0,0,0,1,0.0061
Argentina,1,1972,0.74576271,0.15733381,,188912000,0,0,1,0.006
Argentina,1,1973,0.47916666,0.1512353,,209914000,0,0,0,0.006
Argentina,1,1974,0.48571429,0.14539421,,78362000,0,0,0,0.0059
Argentina,1,1975,0.41935483,0.1366452,,292780000,0,0,0,0.0059
Argentina,1,1976,0.43589744,0.1350517,-0.12898308,529318000,0,0,1,0.0058
Argentina,1,1977,0.65306121,0.13405021,0.25360596,418468000,0,0,1,0.0061
Argentina,1,1978,0.6081081,0.1319987,0.64390755,0,0,0,1,0.0062
Argentina,1,1979,0.41428572,0.1291336,0.70322543,0,0,0,1,0.0065
Argentina,1,1980,0.35593221,0.1251826,1.2239819,0,0,0,1,0.0065
Argentina,1,1981,0.27160493,0.1300254,2.6297445,0,0,0,1,0.0065
Argentina,1,1982,0.18867925,0.1213637,2.5442581,0,0,0,1,0.0068
Argentina,1,1983,0.18478261,0.125166,1.2723711,1173220000,0,0,1,0.0063
Argentina,1,1984,0.11320755,0.12538651,1.2984878,1098430000,0,0,0,0.006
Argentina,1,1985,0.18095239,0.12762,0.46597549,2312290000,0,0,0,0.0056
Argentina,1,1986,0.17431192,0.1267705,0.18839955,2740980000,0,0,0,0.0053
Argentina,1,1987,0.14130434,0.1258067,-0.10350458,3853415000,0,0,0,0.0055
Argentina,1,1988,0.0989011,0.1274651,0.38904396,3677793000,0,0,0,0.0053
Argentina,1,1989,0.089743592,0.1413566,4.7574992,3099863000,0,0,0,0.0053
Argentina,1,1990,0.13333334,0.1342691,0.37282714,3083196000,0,0,0,0.0051
Argentina,1,1991,0.375,0.1301319,1.5401646,2483115000,0,0,0,0.0055
Argentina,1,1992,0.42105263,0.1407147,3.5515389,2313851000,0,0,0,0.0054
Argentina,1,1993,0.5,0.14739349,15.412857,3519668000,0,0,0,0.0053
Argentina,1,1994,0.64864862,0.13928311,4.6936755,4211220000,0,0,0,0.0055
Argentina,1,1995,0.60975611,0.1351594,2.4902985,6130863000,0,0,0,0.0055
Argentina,1,1996,0.54347825,0.1326645,5.4903522,6292571000,0,0,0,0.0057
Argentina,1,1997,0.44444445,0.1339446,5.6449971,5868262000,0,0,0,0.0057
Argentina,1,1998,0.39473686,0.135855,4.6004462,5442163000,0,0,0,0.0059
Argentina,1,1999,0.37209302,0.1371126,5.4572296,4914920000,0,0,0,0.0058
Argentina,1,2000,0.36585367,0.13733201,2.4396865,5470438000,0,0,0,0.0056
Argentina,1,2001,0.26190478,0.13651609,-2.7905288,14376331000,0,0,0,0.0055
Argentina,1,2002,0.24489796,0.13861559,-1.827003,14772335000,0,0,0,0.0048
Argentina,1,2003,0.24528302,0.13730919,-5.3086448,15995776000,0,0,0,0.0048
Argentina,1,2004,0.15686275,0.13837171,-3.8966305,14584968000,0,0,0,0.0048
Argentina,1,2005,0.20689656,0.1434986,1.947521,9967871000,0,0,0,0.0048
Argentina,1,2006,0.16901408,0.1416273,5.1022058,478956000,0,0,0,0.0048
Argentina,1,2007,0.13114753,0.13742781,4.6162405,503104000,0,0,0,0.0047
Bolivia,2,1970,0.64285707,0.18264019,,0,0,0,1,0.0006
Bolivia,2,1971,0.83333331,0.1682611,,7166000,36916000,0,1,0.0006
Bolivia,2,1972,0.68333328,0.16266631,,8555000,48606000,0,1,0.0006
Bolivia,2,1973,0.69736838,0.1565662,,21776000,52955000,0,1,0.0006
Bolivia,2,1974,0.69230771,0.15068249,,17533000,61622000,0,1,0.0006
