date,hits,geo,time,keyword,gprop,category
2004-01-01T00:00:00Z,12,world,all,web scraping,web,0
2004-02-01T00:00:00Z,56,world,all,web scraping,web,0
2004-03-01T00:00:00Z,14,world,all,web scraping,web,0
2004-04-01T00:00:00Z,22,world,all,web scraping,web,0
2004-05-01T00:00:00Z,47,world,all,web scraping,web,0
2004-06-01T00:00:00Z,28,world,all,web scraping,web,0
2004-07-01T00:00:00Z,19,world,all,web scraping,web,0
2004-08-01T00:00:00Z,9,world,all,web scraping,web,0
2004-09-01T00:00:00Z,17,world,all,web scraping,web,0
2004-10-01T00:00:00Z,17,world,all,web scraping,web,0
2004-11-01T00:00:00Z,34,world,all,web scraping,web,0
2004-12-01T00:00:00Z,16,world,all,web scraping,web,0
2005-01-01T00:00:00Z,7,world,all,web scraping,web,0
2005-02-01T00:00:00Z,7,world,all,web scraping,web,0
2005-03-01T00:00:00Z,31,world,all,web scraping,web,0
2005-04-01T00:00:00Z,34,world,all,web scraping,web,0
2005-05-01T00:00:00Z,12,world,all,web scraping,web,0
2005-06-01T00:00:00Z,18,world,all,web scraping,web,0
2005-07-01T00:00:00Z,31,world,all,web scraping,web,0
2005-08-01T00:00:00Z,24,world,all,web scraping,web,0
2005-09-01T00:00:00Z,5,world,all,web scraping,web,0
2005-10-01T00:00:00Z,15,world,all,web scraping,web,0
2005-11-01T00:00:00Z,10,world,all,web scraping,web,0
2005-12-01T00:00:00Z,15,world,all,web scraping,web,0
2006-01-01T00:00:00Z,4,world,all,web scraping,web,0
2006-02-01T00:00:00Z,18,world,all,web scraping,web,0
2006-03-01T00:00:00Z,15,world,all,web scraping,web,0
2006-04-01T00:00:00Z,13,world,all,web scraping,web,0
2006-05-01T00:00:00Z,15,world,all,web scraping,web,0
2006-06-01T00:00:00Z,16,world,all,web scraping,web,0
2006-07-01T00:00:00Z,16,world,all,web scraping,web,0
2006-08-01T00:00:00Z,15,world,all,web scraping,web,0
2006-09-01T00:00:00Z,25,world,all,web scraping,web,0
2006-10-01T00:00:00Z,10,world,all,web scraping,web,0
2006-11-01T00:00:00Z,25,world,all,web scraping,web,0
2006-12-01T00:00:00Z,16,world,all,web scraping,web,0
2007-01-01T00:00:00Z,17,world,all,web scraping,web,0
2007-02-01T00:00:00Z,26,world,all,web scraping,web,0
2007-03-01T00:00:00Z,10,world,all,web scraping,web,0
2007-04-01T00:00:00Z,11,world,all,web scraping,web,0
2007-05-01T00:00:00Z,14,world,all,web scraping,web,0
2007-06-01T00:00:00Z,7,world,all,web scraping,web,0
2007-07-01T00:00:00Z,7,world,all,web scraping,web,0
2007-08-01T00:00:00Z,20,world,all,web scraping,web,0
2007-09-01T00:00:00Z,27,world,all,web scraping,web,0
2007-10-01T00:00:00Z,6,world,all,web scraping,web,0
2007-11-01T00:00:00Z,14,world,all,web scraping,web,0
2007-12-01T00:00:00Z,19,world,all,web scraping,web,0
2008-01-01T00:00:00Z,13,world,all,web scraping,web,0
2008-02-01T00:00:00Z,11,world,all,web scraping,web,0
2008-03-01T00:00:00Z,19,world,all,web scraping,web,0
2008-04-01T00:00:00Z,10,world,all,web scraping,web,0
2008-05-01T00:00:00Z,7,world,all,web scraping,web,0
2008-06-01T00:00:00Z,12,world,all,web scraping,web,0
2008-07-01T00:00:00Z,8,world,all,web scraping,web,0
2008-08-01T00:00:00Z,15,world,all,web scraping,web,0
2008-09-01T00:00:00Z,8,world,all,web scraping,web,0
2008-10-01T00:00:00Z,6,world,all,web scraping,web,0
2008-11-01T00:00:00Z,10,world,all,web scraping,web,0
2008-12-01T00:00:00Z,18,world,all,web scraping,web,0
2009-01-01T00:00:00Z,11,world,all,web scraping,web,0
2009-02-01T00:00:00Z,17,world,all,web scraping,web,0
2009-03-01T00:00:00Z,20,world,all,web scraping,web,0
2009-04-01T00:00:00Z,16,world,all,web scraping,web,0
2009-05-01T00:00:00Z,10,world,all,web scraping,web,0
2009-06-01T00:00:00Z,6,world,all,web scraping,web,0
2009-07-01T00:00:00Z,25,world,all,web scraping,web,0
2009-08-01T00:00:00Z,10,world,all,web scraping,web,0
2009-09-01T00:00:00Z,20,world,all,web scraping,web,0
2009-10-01T00:00:00Z,18,world,all,web scraping,web,0
2009-11-01T00:00:00Z,21,world,all,web scraping,web,0
2009-12-01T00:00:00Z,16,world,all,web scraping,web,0
2010-01-01T00:00:00Z,10,world,all,web scraping,web,0
2010-02-01T00:00:00Z,25,world,all,web scraping,web,0
2010-03-01T00:00:00Z,15,world,all,web scraping,web,0
2010-04-01T00:00:00Z,17,world,all,web scraping,web,0
2010-05-01T00:00:00Z,13,world,all,web scraping,web,0
2010-06-01T00:00:00Z,18,world,all,web scraping,web,0
2010-07-01T00:00:00Z,9,world,all,web scraping,web,0
2010-08-01T00:00:00Z,13,world,all,web scraping,web,0
2010-09-01T00:00:00Z,13,world,all,web scraping,web,0
2010-10-01T00:00:00Z,16,world,all,web scraping,web,0
2010-11-01T00:00:00Z,16,world,all,web scraping,web,0
2010-12-01T00:00:00Z,16,world,all,web scraping,web,0
2011-01-01T00:00:00Z,11,world,all,web scraping,web,0
2011-02-01T00:00:00Z,14,world,all,web scraping,web,0
2011-03-01T00:00:00Z,25,world,all,web scraping,web,0
2011-04-01T00:00:00Z,20,world,all,web scraping,web,0
2011-05-01T00:00:00Z,15,world,all,web scraping,web,0
2011-06-01T00:00:00Z,18,world,all,web scraping,web,0
2011-07-01T00:00:00Z,18,world,all,web scraping,web,0
2011-08-01T00:00:00Z,12,world,all,web scraping,web,0
2011-09-01T00:00:00Z,12,world,all,web scraping,web,0
2011-10-01T00:00:00Z,17,world,all,web scraping,web,0
2011-11-01T00:00:00Z,16,world,all,web scraping,web,0
2011-12-01T00:00:00Z,17,world,all,web scraping,web,0
2012-01-01T00:00:00Z,19,world,all,web scraping,web,0
2012-02-01T00:00:00Z,13,world,all,web scraping,web,0
2012-03-01T00:00:00Z,25,world,all,web scraping,web,0
2012-04-01T00:00:00Z,15,world,all,web scraping,web,0
2012-05-01T00:00:00Z,16,world,all,web scraping,web,0
2012-06-01T00:00:00Z,17,world,all,web scraping,web,0
2012-07-01T00:00:00Z,20,world,all,web scraping,web,0
2012-08-01T00:00:00Z,14,world,all,web scraping,web,0
2012-09-01T00:00:00Z,14,world,all,web scraping,web,0
2012-10-01T00:00:00Z,17,world,all,web scraping,web,0
2012-11-01T00:00:00Z,19,world,all,web scraping,web,0
2012-12-01T00:00:00Z,20,world,all,web scraping,web,0
2013-01-01T00:00:00Z,18,world,all,web scraping,web,0
2013-02-01T00:00:00Z,22,world,all,web scraping,web,0
2013-03-01T00:00:00Z,22,world,all,web scraping,web,0
2013-04-01T00:00:00Z,17,world,all,web scraping,web,0
2013-05-01T00:00:00Z,21,world,all,web scraping,web,0
2013-06-01T00:00:00Z,23,world,all,web scraping,web,0
2013-07-01T00:00:00Z,23,world,all,web scraping,web,0
2013-08-01T00:00:00Z,22,world,all,web scraping,web,0
2013-09-01T00:00:00Z,27,world,all,web scraping,web,0
2013-10-01T00:00:00Z,26,world,all,web scraping,web,0
2013-11-01T00:00:00Z,23,world,all,web scraping,web,0
2013-12-01T00:00:00Z,25,world,all,web scraping,web,0
2014-01-01T00:00:00Z,29,world,all,web scraping,web,0
2014-02-01T00:00:00Z,23,world,all,web scraping,web,0
2014-03-01T00:00:00Z,22,world,all,web scraping,web,0
2014-04-01T00:00:00Z,24,world,all,web scraping,web,0
2014-05-01T00:00:00Z,26,world,all,web scraping,web,0
2014-06-01T00:00:00Z,30,world,all,web scraping,web,0
2014-07-01T00:00:00Z,30,world,all,web scraping,web,0
