id,sexo,zona,macrozona,region,edad,p1_anyo,p1_mes,p2,p3,p4,p5,p6,p7,p8,p9_1,p9_2,p9_3,p9_4,p9_5
34,1,2,4,13,63,1952,8,1,2,1,NA,5,10,10,10,7,9,5,8
36,1,2,4,13,52,1963,7,1,3,NA,NA,5,5,10,8,10,10,8,8
70,1,2,2,7,73,1943,2,4,2,1,NA,5,5,9,10,9,7,8,9
75,2,2,2,7,78,1938,2,7,3,NA,NA,6,6,7,7,7,6,6,7
99,2,2,4,13,22,1993,12,8,3,NA,NA,10,9,9,8,9,9,9,10
121,2,2,2,7,51,1964,11,1,2,1,NA,10,8,8,9,10,9,10,9
122,2,2,2,7,18,1997,10,5,3,NA,NA,8,10,4,7,10,5,8,8
128,2,2,4,13,21,1995,1,5,3,NA,NA,10,10,8,6,7,7,7,6
160,1,2,2,7,57,1958,12,3,2,1,NA,6,8,7,8,8,7,7,8
163,1,2,2,7,41,1974,4,3,2,2,2,8,8,7,7,7,7,7,8
166,2,2,2,7,55,1960,10,7,3,NA,NA,7,8,7,7,6,7,7,8
172,2,2,2,5,64,1951,12,4,1,1,NA,10,10,5,5,5,5,3,10
176,2,1,2,7,26,1989,12,5,1,2,1,9,9,5,10,9,9,9,9
201,1,2,4,13,70,1945,10,1,1,1,NA,10,10,10,9,8,8,8,7
205,2,2,4,13,24,1991,10,5,3,NA,NA,9,8,4,6,5,3,5,7
212,2,2,4,13,47,1968,11,1,1,2,2,5,3,10,10,10,10,10,10
237,1,2,4,13,57,1958,3,1,2,1,NA,6,5,10,7,10,10,7,10
253,2,2,4,13,18,1997,9,5,3,NA,NA,8,7,8,9,9,8,8,10
264,2,2,4,13,24,1991,6,1,1,2,2,7,10,6,10,10,10,10,4
268,2,2,4,13,73,1942,10,7,3,NA,NA,9,10,10,10,10,10,10,10
279,2,2,3,9,59,1956,7,1,1,1,NA,5,10,3,2,2,5,7,4
280,2,2,3,9,67,1948,9,1,1,1,NA,4,5,7,10,10,10,10,10
281,2,2,3,9,81,1934,11,7,3,NA,NA,6,10,8,10,10,10,10,10
282,2,2,3,9,84,1931,9,7,2,1,NA,10,7,10,10,10,10,10,3
283,2,2,3,9,67,1949,2,4,1,1,NA,6,9,10,10,10,10,10,10
292,2,2,1,1,62,1953,5,4,1,1,NA,5,10,10,1,7,1,10,5
303,1,2,1,4,73,1942,6,5,3,NA,NA,7,10,8,10,8,8,8,9
306,1,2,1,4,25,1990,10,8,1,2,1,8,8,6,10,7,8,8,4
335,1,2,4,13,27,1988,6,5,3,NA,NA,7,8,8,8,7,8,5,7
337,2,2,4,13,28,1987,6,5,1,1,NA,10,10,8,8,7,7,6,8
340,1,2,4,13,49,1967,3,4,1,2,1,5,4,10,10,10,9,8,8
343,2,2,1,1,53,1963,3,1,1,2,2,5,10,10,10,10,5,8,8
353,1,2,3,10,32,1983,11,5,3,NA,NA,7,9,10,9,10,9,10,10
355,1,2,3,10,63,1952,7,7,3,NA,NA,1,4,10,10,10,10,10,10
356,2,2,3,10,27,1988,6,5,1,2,2,6,10,9,7,8,8,6,8
368,2,2,4,13,23,1993,2,5,3,NA,NA,7,9,8,7,8,8,8,8
393,2,2,4,13,48,1967,10,1,1,3,1,5,4,10,8,10,9,7,10
394,1,2,4,13,55,1960,6,2,2,1,NA,7,7,8,6,8,9,8,9
403,2,2,4,13,22,1993,7,5,3,NA,NA,8,6,10,7,10,10,6,10
420,2,2,2,5,84,1931,7,7,2,1,NA,7,10,99,9,9,10,10,10
430,2,2,4,13,71,1944,12,5,3,NA,NA,4,9,10,8,10,10,10,10
431,1,2,2,5,42,1973,6,5,1,2,2,10,10,10,10,10,10,10,10
433,2,2,3,8,44,1972,1,1,1,2,2,9,10,4,8,8,8,8,10
463,2,2,3,10,43,1972,9,1,1,1,NA,10,7,10,10,10,10,10,10
471,2,2,3,12,64,1952,1,99,2,1,NA,10,10,10,9,9,9,9,9
472,2,2,3,12,64,1952,1,2,2,1,NA,10,9,9,9,8,8,8,8
476,2,2,3,12,60,1955,11,1,1,3,1,7,8,8,8,9,9,9,9
484,2,2,4,13,73,1942,5,1,1,1,NA,9,10,8,10,10,10,10,10
489,2,2,4,13,55,1960,11,7,1,2,1,7,6,10,10,10,10,10,10
499,2,2,4,13,42,1973,6,3,2,1,NA,7,6,7,7,7,8,7,7
505,1,2,4,13,51,1964,9,1,1,2,1,9,7,2,10,10,10,5,5
521,2,2,3,8,22,1994,2,5,3,NA,NA,8,10,7,8,5,7,7,8
541,1,2,4,13,50,1965,7,1,1,2,3,6,4,7,7,5,7,8,7
554,2,2,4,13,21,1994,10,5,3,NA,NA,6,6,6,5,8,5,4,9
556,2,2,4,13,48,1967,8,1,1,1,NA,7,7,4,5,8,9,8,9
557,1,2,4,13,20,1995,12,8,3,NA,NA,7,7,5,8,8,7,8,7
563,1,2,1,4,25,1990,6,5,3,NA,NA,8,7,8,5,7,9,7,6
567,2,2,1,4,45,1970,9,1,1,2,2,6,10,6,5,4,5,5,8
