year,software,average
2004,Stata,7.302083333
2005,Stata,4.875
2006,Stata,3.947916667
2007,Stata,3.6875
2008,Stata,3.052083333
2009,Stata,2.760416667
2010,Stata,3.260416667
2011,Stata,2.177083333
2012,Stata,2.354166667
2013,Stata,2.489583333
2014,Stata,2.625
2015,Stata,2.729166667
2016,Stata,2.854166667
2017,Stata,3.1375
2004,SPSS,60.85416667
2005,SPSS,45.80208333
2006,SPSS,39.94791667
2007,SPSS,32.88541667
2008,SPSS,32.32291667
2009,SPSS,30.625
2010,SPSS,29.82291667
2011,SPSS,24.5625
2012,SPSS,23.52083333
2013,SPSS,20.69791667
2014,SPSS,19.75
2015,SPSS,19.51041667
2016,SPSS,17.44791667
2017,SPSS,16.2625
2004,Minitab,14.96875
2005,Minitab,12.875
2006,Minitab,10.41666667
2007,Minitab,8.104166667
2008,Minitab,7.28125
2009,Minitab,6.510416667
2010,Minitab,5.770833333
2011,Minitab,4.541666667
2012,Minitab,4.21875
2013,Minitab,3.90625
2014,Minitab,3.78125
2015,Minitab,3.71875
2016,Minitab,3.427083333
2017,Minitab,3.4375
2004,R,31.51041667
2005,R,24.82291667
2006,R,24.55208333
2007,R,22.625
2008,R,24.79166667
2009,R,23.875
2010,R,25.22916667
2011,R,26.51041667
2012,R,30.25
2013,R,30.09375
2014,R,31.47916667
2015,R,33.35416667
2016,R,34.97916667
2017,R,36.95
