semana,interes,termino
02-02-2014,11,acoso
09-02-2014,8,acoso
16-02-2014,7,acoso
23-02-2014,5,acoso
02-03-2014,12,acoso
09-03-2014,17,acoso
16-03-2014,11,acoso
23-03-2014,19,acoso
30-03-2014,12,acoso
06-04-2014,14,acoso
13-04-2014,17,acoso
20-04-2014,12,acoso
27-04-2014,9,acoso
04-05-2014,16,acoso
11-05-2014,17,acoso
18-05-2014,9,acoso
25-05-2014,11,acoso
01-06-2014,17,acoso
08-06-2014,13,acoso
15-06-2014,19,acoso
22-06-2014,13,acoso
29-06-2014,13,acoso
06-07-2014,12,acoso
13-07-2014,5,acoso
20-07-2014,8,acoso
27-07-2014,8,acoso
03-08-2014,10,acoso
10-08-2014,10,acoso
17-08-2014,12,acoso
24-08-2014,20,acoso
31-08-2014,13,acoso
07-09-2014,11,acoso
14-09-2014,9,acoso
21-09-2014,13,acoso
28-09-2014,13,acoso
05-10-2014,17,acoso
12-10-2014,20,acoso
19-10-2014,18,acoso
26-10-2014,19,acoso
02-11-2014,9,acoso
09-11-2014,23,acoso
16-11-2014,14,acoso
23-11-2014,22,acoso
30-11-2014,17,acoso
07-12-2014,13,acoso
14-12-2014,17,acoso
21-12-2014,14,acoso
28-12-2014,6,acoso
04-01-2015,9,acoso
11-01-2015,10,acoso
18-01-2015,12,acoso
25-01-2015,10,acoso
01-02-2015,9,acoso
08-02-2015,10,acoso
15-02-2015,10,acoso
22-02-2015,8,acoso
01-03-2015,6,acoso
08-03-2015,9,acoso
15-03-2015,16,acoso
22-03-2015,24,acoso
29-03-2015,14,acoso
05-04-2015,17,acoso
12-04-2015,17,acoso
19-04-2015,12,acoso
26-04-2015,16,acoso
03-05-2015,12,acoso
10-05-2015,20,acoso
17-05-2015,16,acoso
24-05-2015,26,acoso
31-05-2015,21,acoso
07-06-2015,14,acoso
14-06-2015,24,acoso
21-06-2015,15,acoso
28-06-2015,10,acoso
05-07-2015,19,acoso
12-07-2015,11,acoso
19-07-2015,10,acoso
26-07-2015,11,acoso
02-08-2015,8,acoso
09-08-2015,8,acoso
16-08-2015,13,acoso
23-08-2015,11,acoso
30-08-2015,14,acoso
06-09-2015,15,acoso
13-09-2015,12,acoso
20-09-2015,12,acoso
27-09-2015,15,acoso
04-10-2015,15,acoso
11-10-2015,11,acoso
18-10-2015,17,acoso
25-10-2015,25,acoso
01-11-2015,18,acoso
08-11-2015,17,acoso
15-11-2015,18,acoso
22-11-2015,15,acoso
29-11-2015,18,acoso
06-12-2015,7,acoso
13-12-2015,14,acoso
20-12-2015,7,acoso
27-12-2015,13,acoso
03-01-2016,8,acoso
10-01-2016,13,acoso
17-01-2016,7,acoso
24-01-2016,7,acoso
31-01-2016,12,acoso
07-02-2016,7,acoso
14-02-2016,7,acoso
21-02-2016,10,acoso
28-02-2016,10,acoso
06-03-2016,12,acoso
13-03-2016,13,acoso
20-03-2016,13,acoso
27-03-2016,22,acoso
03-04-2016,17,acoso
10-04-2016,34,acoso
17-04-2016,21,acoso
24-04-2016,21,acoso
01-05-2016,18,acoso
08-05-2016,20,acoso
15-05-2016,25,acoso
22-05-2016,19,acoso
29-05-2016,24,acoso
05-06-2016,22,acoso
12-06-2016,21,acoso
19-06-2016,21,acoso
26-06-2016,21,acoso
03-07-2016,18,acoso
10-07-2016,14,acoso
17-07-2016,8,acoso
24-07-2016,17,acoso
31-07-2016,24,acoso
07-08-2016,16,acoso
14-08-2016,13,acoso
21-08-2016,20,acoso
28-08-2016,17,acoso
04-09-2016,19,acoso
11-09-2016,20,acoso
18-09-2016,19,acoso
25-09-2016,17,acoso
02-10-2016,16,acoso
09-10-2016,31,acoso
16-10-2016,31,acoso
23-10-2016,25,acoso
30-10-2016,14,acoso
06-11-2016,20,acoso
13-11-2016,19,acoso
20-11-2016,22,acoso
27-11-2016,17,acoso
04-12-2016,15,acoso
11-12-2016,17,acoso
18-12-2016,17,acoso
25-12-2016,13,acoso
01-01-2017,16,acoso
08-01-2017,11,acoso
15-01-2017,12,acoso
22-01-2017,14,acoso
29-01-2017,13,acoso
05-02-2017,8,acoso
12-02-2017,13,acoso
19-02-2017,9,acoso
26-02-2017,13,acoso
05-03-2017,17,acoso
12-03-2017,24,acoso
19-03-2017,16,acoso
26-03-2017,21,acoso
02-04-2017,24,acoso
09-04-2017,22,acoso
16-04-2017,18,acoso
23-04-2017,17,acoso
30-04-2017,18,acoso
